10,176,322,459,640,804,952,1025,1132,1299,1407
21,380,520,916,1291,1603,1782,1997,2232,2397,2535
48,185,395,760,1249,1547,1943,2268,2578,2711,2842
22,250,470,652,794,1042,1181,1376,1651,1925,2176
20,303,471,669,997,1233,1818,1895,2197,2506,2713
11,138,511,713,973,1174,1312,1570,1851,2095,2347
2,282,646,801,1171,1386,1678,1965,2313,2524,2767
5,181,332,496,685,929,1145,1371,1594,1771,2133
29,277,702,911,1091,1424,1619,1800,1957,2121,2369
8,230,420,891,1283,1583,1742,1961,2241,2549,2688
28,838,1566,2047,2525,2894,3313,3736,3927,3992,4007
35,365,883,1706,2153,2412,2856,3285,3564,3865,3976
15,253,522,1015,1449,2027,2635,2813,3006,3342,3503
165,686,909,1242,1700,2016,2619,3087,3508,3891,3984
19,402,803,1410,2039,2406,2784,3134,3457,3682,3864
17,486,948,1414,1666,2301,2617,3001,3340,3596,3906
13,558,1000,1388,1681,2151,2594,2932,3198,3652,3816
12,687,1452,2238,2770,3140,3362,3705,3859,3959,4001
85,514,1169,1531,1990,2297,2749,3058,3328,3521,3723
6,399,856,1626,2195,2553,2944,3112,3341,3712,3897
3,548,1124,1595,1980,2414,2599,2901,3273,3701,3855
16,477,1073,1434,1937,2401,2695,3276,3526,3745,3900
33,384,900,1226,1698,2210,2433,2761,3147,3281,3523
179,587,1223,1563,2045,2366,2769,3226,3420,3615,3769
49,437,1084,1478,2141,2764,3038,3354,3658,3871,3952
32,363,1143,1654,2139,2502,2905,3325,3495,3866,3963
52,755,1284,1803,2243,2650,3064,3312,3621,3923,3971
9,680,1104,1425,1931,2434,2672,2872,3172,3412,3600
43,288,626,1079,1555,2012,2302,2534,2720,3049,3337
123,818,1279,1794,2019,2517,2908,3010,3388,3629,3910
26,728,1071,1717,2140,2709,2929,3128,3383,3677,3878
7,624,1058,1600,1852,2143,2629,3000,3347,3651,3847
24,577,950,1314,1829,2307,2732,3163,3375,3674,3877
65,746,1304,1850,2343,2561,2846,3370,3589,3767,3940
14,535,1103,1556,1909,2382,2828,3048,3309,3591,3721
100,440,1013,1443,1844,2228,2486,2800,3120,3421,3673
184,632,1080,1596,1938,2510,2791,3021,3169,3439,3845
23,177,476,913,1522,2059,2473,2796,3034,3271,3463
1,596,1116,1472,2117,2548,3004,3374,3593,3724,3905
