11_distribution1.csv,1643,620,350,289,189,120,112,103,76,76,71,51,46,37,48,41,34,31,37,26
12_distribution1.csv,1512,605,375,295,210,162,122,111,84,73,75,51,53,48,40,44,41,45,27,27
1_all_same_distribution1.csv,3686,185,48,19,18,6,6,3,3,7,6,1,3,2,1,0,3,1,2,0
1_random_distribution1.csv,284,230,275,229,247,221,216,229,203,211,192,189,161,205,154,168,150,158,141,137
21_distribution1.csv,1714,588,344,284,181,121,107,97,79,72,73,48,44,38,45,39,34,32,34,26
22_distribution1.csv,1574,574,355,287,208,160,118,112,86,71,72,53,55,48,38,45,43,46,30,25
2_all_same_distribution1.csv,3224,440,169,75,27,16,12,4,8,2,6,1,1,2,2,2,1,3,1,4
2_random_distribution1.csv,271,237,241,239,218,239,236,221,210,188,207,162,185,187,170,176,176,162,141,134
31_distribution1.csv,1683,632,334,278,178,122,108,98,79,75,71,49,44,38,46,40,34,30,36,25
32_distribution1.csv,1553,603,352,285,207,164,118,111,82,71,75,52,55,51,37,43,41,46,29,25
41_distribution1.csv,1674,622,360,276,178,121,109,97,79,77,72,51,45,34,45,39,34,30,33,24
42_distribution1.csv,1531,608,381,285,204,161,116,108,83,73,74,49,52,50,40,45,40,47,28,25
51_distribution1.csv,1643,620,350,289,189,120,112,103,76,76,71,51,46,37,48,41,34,31,37,26
52_distribution1.csv,1513,604,376,294,211,162,122,111,84,73,75,51,53,48,39,44,41,45,27,27
