10,137,227,288,400,451,507,555,610,654,700
6,195,350,424,504,569,651,688,735,773,824
29,138,283,394,488,564,619,680,766,803,886
61,147,227,268,374,398,445,498,537,589,634
34,221,407,531,623,686,807,884,938,1002,1039
66,268,360,450,585,653,714,765,824,855,911
12,125,180,244,279,362,431,484,512,540,585
3,200,309,431,536,630,674,760,798,832,912
23,137,293,363,474,521,579,627,685,716,746
30,111,254,324,379,439,504,563,614,645,678
12,107,187,274,410,489,543,587,654,694,740
7,107,278,448,583,653,721,803,850,909,972
9,193,281,380,475,605,729,800,865,897,935
7,111,230,290,327,429,515,553,579,602,616
45,165,273,356,439,598,652,701,797,847,890
26,206,316,390,490,531,588,647,692,718,760
31,158,316,402,460,521,575,627,677,757,813
16,186,520,589,662,770,863,915,987,1035,1080
53,218,342,475,572,691,761,825,849,892,939
20,124,249,370,493,563,602,738,784,846,910
11,219,312,422,505,579,666,775,809,907,937
10,240,346,475,620,697,805,946,991,1038,1076
5,243,329,486,543,597,668,704,745,794,832
4,153,355,482,554,633,727,777,807,853,895
8,125,244,304,363,411,450,511,578,613,642
14,144,254,435,532,604,663,731,773,802,837
12,155,249,327,359,472,523,553,574,603,628
2,188,292,414,506,580,652,728,817,846,877
15,203,293,416,490,584,622,688,728,769,809
23,138,310,430,533,618,697,795,845,876,923
10,134,230,306,355,412,466,509,550,590,615
11,144,208,327,404,554,647,716,760,846,872
2,123,298,409,466,566,638,724,817,864,923
15,179,348,449,555,673,723,772,813,852,887
3,107,183,269,389,435,476,520,547,587,630
1,191,261,346,435,531,623,674,737,778,818
7,158,257,387,508,635,700,749,817,867,944
10,87,195,370,451,527,593,665,731,777,825
4,146,273,420,501,599,712,752,796,879,932
9,156,346,486,586,625,712,769,832,886,921
