10,132,251,322,397,510,589,698,767,835,952
40,122,286,402,485,523,636,693,755,819,865
7,227,357,497,626,729,780,908,1035,1077,1116
60,141,250,333,371,431,496,534,568,641,691
23,161,327,444,529,639,760,864,918,967,1012
6,187,336,420,512,577,645,703,770,840,895
1,94,227,318,358,393,436,492,538,597,649
16,139,250,397,469,527,619,671,738,775,877
47,169,313,357,430,508,567,662,693,773,807
9,117,227,332,444,514,604,688,738,786,808
1,146,299,377,449,484,520,579,621,650,673
20,182,351,424,546,620,724,798,864,887,927
1,91,242,351,455,504,556,650,689,731,767
9,156,221,263,332,405,443,470,503,519,548
11,146,269,435,496,592,638,680,729,769,828
17,156,243,311,363,421,476,540,575,614,641
28,193,303,354,397,517,554,615,679,722,753
16,189,365,506,637,744,809,847,896,945,974
32,136,340,435,520,604,663,711,744,784,812
6,111,234,355,441,536,611,706,781,847,915
2,171,343,448,512,597,684,732,786,813,853
60,162,336,461,558,666,711,791,856,920,954
8,122,236,365,416,485,557,601,664,741,775
27,153,291,408,530,606,641,726,803,818,872
30,112,201,270,311,358,403,450,502,532,562
7,130,253,367,445,531,563,612,655,683,724
24,109,236,293,343,405,480,511,537,563,582
17,184,336,423,513,588,673,753,787,841,881
14,202,360,439,505,604,658,704,734,781,821
4,211,436,591,675,740,788,843,874,910,959
37,146,231,276,323,410,447,490,524,572,623
37,170,332,438,488,545,582,651,710,738,774
18,152,292,446,545,604,647,700,744,770,816
66,229,327,425,510,600,653,732,777,809,854
8,120,237,309,345,385,414,434,462,521,554
23,268,353,484,550,604,637,669,710,747,786
32,212,278,386,507,578,670,718,790,831,876
11,99,252,357,435,520,609,663,698,727,761
2,179,338,442,565,707,811,850,896,948,993
5,110,262,393,516,626,708,753,802,849,879
